,Females_ANOVA,Females_Tukey_Continuous_vs_Control,Females_Tukey_Intermittent_vs_Control,Females_Tukey_Continuous_Intermittent,Females_FoldChange_Continuous_Control,Females_FoldChange_Intermittent_Control,Females_FoldChange_Continuous_Intermittent,Males_ANOVA,Males_Tukey_Continuous_vs_Control,Males_Tukey_Intermittent_vs_Control,Males_Tukey_Continuous_vs_Intermittent,Males_FoldChange_Continuous_vs_Control,Males_FoldChange_Intermittent_vs_Control,Males_FoldChange_Continuous_Intermittent,Sex_ANOVA_Female_vs_Males_Controls,Sex_FoldChange_Female_Male_Controls
Il6,0.121006689,0.131894407,0.269450373,0.86562342,0.761757957,0.823981988,0.924483749,0.063922523,0.078006545,0.127754268,0.975217406,0.672392144,0.703091845,0.956336144,0.248965241,0.878827875
Prdx5,0.008591914,0.006163296,0.428701622,0.108075486,0.72272617,0.900208133,0.802843413,0.306300539,0.404279712,0.339805992,0.987833373,0.859393429,0.843572865,1.018754235,0.007494374,0.894928111
Tgfa,0.197210984,0.444120935,0.188771427,0.909006203,0.978379297,0.971027947,1.007570688,0.837559678,0.837231107,0.988088943,0.904407291,1.021966264,1.005784418,1.016088781,0.450670195,0.90388262
Ccl5,0.100319762,0.496274605,0.082654337,0.649265661,0.793828924,0.632454664,1.255155459,0.11421161,0.114531954,0.851428928,0.289986946,0.723648756,0.925704853,0.781727301,0.19470742,0.908556955
Epo,0.079077753,0.925488256,0.081833506,0.232146828,0.960877352,0.788242861,1.219011805,0.012297275,0.011766421,0.067596168,0.761416361,0.643355363,0.724835944,0.887587555,0.094027091,0.915364086
Axin1,0.667294925,0.997124187,0.685452022,0.76608622,0.995115146,0.947984618,1.049716554,0.672828082,0.681917688,0.760151057,0.992016882,1.168592265,1.144802172,1.020780963,0.221193634,0.917836546
Fst,0.385423251,0.942352967,0.373114058,0.627827759,0.993489731,0.975175293,1.018780662,0.614066028,0.585187628,0.865693902,0.880192982,1.030244777,1.0158571,1.014163092,0.085115539,0.92561296
Rgma,0.007857187,0.04953278,0.009532983,0.907614057,0.921203829,0.907516442,1.015082246,0.05966675,0.06823897,0.133795568,0.95113436,1.147513881,1.12850539,1.016843952,0.236741201,0.928030289
Nadk,0.945040358,0.945274672,0.968962016,0.995112507,1.022687762,1.015923,1.006659,0.810667531,0.79371267,0.942766248,0.942339234,1.146688,1.07389549,1.067784,0.529254355,0.930605389
Tnni3,0.244415352,0.993805383,0.270226082,0.374488158,1.018039687,1.252902,0.812545,0.982651618,0.987693199,0.999724718,0.983347777,1.050462,0.992786,1.058095,0.151041573,0.938306401
Notch3,0.523843152,0.977171414,0.522854859,0.70045696,1.003724438,1.018404676,0.985585064,0.003065326,0.007441639,0.007305069,0.997956855,1.070300555,1.07161106,0.99877707,0.727960131,0.956172912
Snap29,0.666100294,0.998562021,0.689606355,0.757345227,0.997145248,0.957343647,1.041575041,0.736968712,0.809710703,0.998632028,0.75630957,1.08845,0.992901,1.096233,0.420050067,0.962808397
Cntn1,0.652911098,0.653698777,0.986630156,0.742291503,0.979242147,0.996596619,0.982586263,0.000101783,0.000107131,0.002528788,0.568086864,1.149025143,1.11697257,1.028695936,0.416614294,0.976198662
Clstn2,2.44E-05,4.59E-05,0.852526582,0.000246,1.284156588,1.029760071,1.247044456,0.568473217,0.761649865,0.94770399,0.554517115,1.081792801,0.963192704,1.123132263,0.749721113,0.97629774
S100a4,0.548185363,0.997839168,0.577062848,0.662814995,1.002322034,1.034491217,0.968903377,0.970360379,0.979797489,0.971076993,0.998981505,0.990511279,0.988432608,1.002102997,0.461423203,0.987647607
Ca13,0.000760694,0.000487973,0.088013132,0.109228502,0.87160109,0.936701851,0.930500019,0.864467452,0.87019084,0.99481583,0.910691914,1.023282483,1.004566477,1.018630928,0.898930823,0.987933753
Mia,0.009866334,0.063064441,0.011184052,0.885106779,0.914221027,0.896733423,1.019501452,0.063776608,0.05159862,0.323087085,0.605332345,1.176261453,1.10766304,1.061930759,0.871211088,0.989703323
Cant1,0.002561169,0.962051596,0.004110157,0.017080624,0.967131685,0.614102612,1.574869844,0.711393764,0.841468877,0.978063276,0.705261328,1.108305,0.96062,1.153739,0.881420051,0.995454144
Kitlg,0.399549011,0.676883059,0.379050263,0.912242184,0.876541385,0.816188,1.073946,0.438779173,0.758962434,0.863975268,0.408915231,0.786072,1.158041,0.678794,0.9585385,0.995839535
Gfra1,0.053229563,0.647443274,0.04313289,0.348634147,0.941480787,0.849719493,1.107990102,0.001638134,0.003184216,0.005994274,0.982515097,0.774552203,0.785809063,0.985674815,0.89972492,1.008489572
Ppp1r2,0.895952597,0.886163413,0.978252947,0.956574974,1.035095378,1.01384303,1.020962167,0.462151712,0.454296083,0.914276109,0.668024709,1.225103,1.075028,1.139601,0.587707252,1.011326207
Adam23,0.000173641,0.020683124,0.000125028,0.330366629,0.782546,0.67008,1.16784,0.113717062,0.125816765,0.188128761,0.969469765,0.653297,0.691084,0.945323,0.558437242,1.017400573
Itgb6,0.587967574,0.572031099,0.958546459,0.73114287,0.881868151,0.970068866,0.909077883,0.979768858,0.990397866,0.97826402,0.99713972,0.987676429,0.981092198,1.006711124,0.705045712,1.019352048
